[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | SQL: UPDATE `pp_items_cate` SET `item_likes`='0' WHERE ( `id` = '376' ) [ RunTime:0.000104s ]
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | SQL: UPDATE `pp_items` SET `comments`='0' WHERE 1=1 [ RunTime:0.001563s ]
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | SQL: SELECT `pid`,count(pid) as total FROM `pp_user_comments` WHERE type='item' and status='1' GROUP BY pid  [ RunTime:0.000121s ]
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | NOTIC: [2] Invalid argument supplied for foreach() cacheAction.class.php 第 78 行.
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | INFO: Tag[ view_template ] --START--
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | INFO: Run LocationTemplate Behavior [ RunTime:0.001365s ]
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | INFO: Tag[ view_template ] --END-- [ RunTime:0.001422s ]
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | INFO: Tag[ view_parse ] --START--
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | NOTIC: [8] Undefined variable: sub_menu 5cdd149056100dfb7a8e20a3e8307427.php 第 36 行.
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | NOTIC: [8] Undefined variable: big_menu 5cdd149056100dfb7a8e20a3e8307427.php 第 36 行.
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | INFO: Run ParseTemplate Behavior [ RunTime:0.010490s ]
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010556s ]
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | INFO: Tag[ view_filter ] --START--
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | INFO: Run ContentReplace Behavior [ RunTime:0.000324s ]
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | INFO: Run TokenBuild Behavior [ RunTime:0.000330s ]
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000203s ]
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | INFO: Run ShowRuntime Behavior [ RunTime:0.000362s ]
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001363s ]
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | INFO: Tag[ view_end ] --START--
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | INFO: Run ShowPageTrace Behavior [ RunTime:0.000574s ]
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | INFO: Tag[ view_end ] --END-- [ RunTime:0.000648s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001065s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001171s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php | SQL: SHOW COLUMNS FROM `pp_admin` [ RunTime:0.001969s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001756s ]
