[ 2012-10-10T10:26:13+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | INFO: Tag[ app_begin ] --START--
[ 2012-10-10T10:26:13+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000462s ]
[ 2012-10-10T10:26:13+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000547s ]
[ 2012-10-10T10:26:13+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `pp_admin` [ RunTime:0.001689s ]
[ 2012-10-10T10:26:13+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001667s ]
[ 2012-10-10T10:26:13+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.001989s ]
[ 2012-10-10T10:26:13+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `pp_album` [ RunTime:0.001639s ]
[ 2012-10-10T10:26:13+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `pp_album_cate` [ RunTime:0.001604s ]
[ 2012-10-10T10:26:13+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | NOTIC: [8] Undefined index:  admin_info baseAction.class.php 第 70 行.
[ 2012-10-10T10:26:13+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | NOTIC: [8] Undefined index:  admin_info baseAction.class.php 第 38 行.
[ 2012-10-10T10:26:13+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `pp_group` [ RunTime:0.001836s ]
[ 2012-10-10T10:26:13+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | SQL: SELECT `id`,`title` FROM `pp_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.000598s ]
[ 2012-10-10T10:26:13+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `pp_setting` [ RunTime:0.001435s ]
[ 2012-10-10T10:26:13+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | SQL: SELECT * FROM `pp_setting`  [ RunTime:0.000647s ]
[ 2012-10-10T10:26:13+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | NOTIC: [8] Undefined index:  iframe baseAction.class.php 第 58 行.
[ 2012-10-10T10:26:13+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `pp_admin` [ RunTime:0.001561s ]
[ 2012-10-10T10:26:13+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | INFO: Tag[ view_template ] --START--
[ 2012-10-10T10:26:13+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | INFO: Run LocationTemplate Behavior [ RunTime:0.001378s ]
[ 2012-10-10T10:26:13+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | INFO: Tag[ view_template ] --END-- [ RunTime:0.001458s ]
[ 2012-10-10T10:26:13+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | INFO: Tag[ view_parse ] --START--
[ 2012-10-10T10:26:13+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | INFO: Run ParseTemplate Behavior [ RunTime:0.007969s ]
[ 2012-10-10T10:26:13+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008040s ]
[ 2012-10-10T10:26:13+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | INFO: Tag[ view_filter ] --START--
[ 2012-10-10T10:26:13+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | INFO: Run ContentReplace Behavior [ RunTime:0.000291s ]
[ 2012-10-10T10:26:13+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | INFO: Run TokenBuild Behavior [ RunTime:0.000356s ]
[ 2012-10-10T10:26:13+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001148s ]
[ 2012-10-10T10:26:13+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | INFO: Run ShowRuntime Behavior [ RunTime:0.000416s ]
