[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/uc/register | INFO: Run ParseTemplate Behavior [ RunTime:0.032468s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/uc/register | INFO: Tag[ view_parse ] --END-- [ RunTime:0.032536s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/uc/register | INFO: Tag[ view_filter ] --START--
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/uc/register | INFO: Run ContentReplace Behavior [ RunTime:0.000966s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/uc/register | INFO: Run TokenBuild Behavior [ RunTime:0.001080s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/uc/register | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000772s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/uc/register | INFO: Run ShowRuntime Behavior [ RunTime:0.000909s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/uc/register | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003869s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/uc/register | INFO: Tag[ view_end ] --START--
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/uc/register | INFO: Run ShowPageTrace Behavior [ RunTime:0.001025s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/uc/register | INFO: Tag[ view_end ] --END-- [ RunTime:0.001081s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/?a=verify&m=public | INFO: Tag[ app_begin ] --START--
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/?a=verify&m=public | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000984s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/?a=verify&m=public | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001076s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/?a=verify&m=public | SQL: SHOW COLUMNS FROM `pp_setting` [ RunTime:0.001747s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/?a=verify&m=public | SQL: SELECT `data` FROM `pp_setting` WHERE ( `name` = 'site_status' ) LIMIT 1   [ RunTime:0.000420s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/?a=verify&m=public | SQL: SHOW COLUMNS FROM `pp_setting` [ RunTime:0.001613s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/?a=verify&m=public | SQL: SHOW COLUMNS FROM `pp_like_list` [ RunTime:0.017416s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/?a=verify&m=public | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.023786s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/?a=verify&m=public | SQL: SHOW COLUMNS FROM `pp_items` [ RunTime:0.004869s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/?a=verify&m=public | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.002520s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/?a=verify&m=public | SQL: SHOW COLUMNS FROM `pp_items_comments` [ RunTime:0.002085s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/?a=verify&m=public | SQL: SHOW COLUMNS FROM `pp_user_openid` [ RunTime:0.001753s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/?a=verify&m=public | SQL: SHOW COLUMNS FROM `pp_user_follow` [ RunTime:0.001446s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/?a=verify&m=public | SQL: SHOW COLUMNS FROM `pp_user_comments` [ RunTime:0.001625s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/?a=verify&m=public | SQL: SELECT * FROM `pp_setting`  [ RunTime:0.000694s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/?a=verify&m=public | SQL: SHOW COLUMNS FROM `pp_nav` [ RunTime:0.001880s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/?a=verify&m=public | SQL: SELECT * FROM `pp_nav` WHERE is_show=1 AND type=1 ORDER BY sort_order ASC  [ RunTime:0.000608s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/?a=verify&m=public | SQL: SHOW COLUMNS FROM `pp_flink` [ RunTime:0.001571s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/?a=verify&m=public | SQL: SELECT * FROM `pp_flink` WHERE status=1  [ RunTime:0.000571s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/?a=verify&m=public | NOTIC: [8] Undefined index:  user_id baseAction.class.php 第 97 行.
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/?a=verify&m=public | SQL: SELECT * FROM `pp_user` WHERE id= LIMIT 1   [ RunTime:0.000081s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/?a=verify&m=public | NOTIC: [8] Undefined index:  user_id baseAction.class.php 第 114 行.
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/?a=verify&m=public | SQL: SELECT COUNT(*) AS tp_count FROM `pp_user_follow` WHERE fans_id= and uid= LIMIT 1   [ RunTime:0.000102s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/?a=verify&m=public | NOTIC: [8] Undefined index:  user_id baseAction.class.php 第 118 行.
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/?a=verify&m=public | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001703s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/?a=verify&m=public | SQL: SELECT * FROM `pp_items_cate` ORDER BY ordid DESC  [ RunTime:0.003070s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/?a=verify&m=public | NOTIC: [8] Undefined index:  user_id baseAction.class.php 第 201 行.
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/?a=verify&m=public | NOTIC: [8] Use of undefined constant __TMPL__ - assumed '__TMPL__' baseAction.class.php 第 205 行.
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/index/Tpl/default/public/images/big-searchIcon-x1.png | ERR: (ThinkException) 非法操作Tpl
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/index/Tpl/default/public/images/header-bg.png | ERR: (ThinkException) 非法操作Tpl
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/index/Tpl/default/public/images/bg-slogan.png | ERR: (ThinkException) 非法操作Tpl
[ 2012-10-15T10:17:21+08:00 ] /SHX/PinPHP/index/Tpl/default/public/images/app-logo.png | ERR: (ThinkException) 非法操作Tpl
[ 2012-10-15T10:17:21+08:00 ] /SHX/PinPHP/index/Tpl/default/public/images/logo-new-1x.png | ERR: (ThinkException) 非法操作Tpl
[ 2012-10-15T10:17:21+08:00 ] /SHX/PinPHP/index/Tpl/default/public/images/nav-bg.png | ERR: (ThinkException) 非法操作Tpl
[ 2012-10-15T10:17:21+08:00 ] /SHX/PinPHP/index/Tpl/default/public/images/signIn-status.png | ERR: (ThinkException) 非法操作Tpl
[ 2012-10-15T10:17:21+08:00 ] /SHX/PinPHP/index/Tpl/default/public/images/arrow-d-x1.png | ERR: (ThinkException) 非法操作Tpl
[ 2012-10-15T10:17:21+08:00 ] /SHX/PinPHP/index/Tpl/default/public/images/arrow-d.png | ERR: (ThinkException) 非法操作Tpl
[ 2012-10-15T10:17:21+08:00 ] /SHX/PinPHP/index/Tpl/default/public/images/connect/Sina_small.png | ERR: (ThinkException) 非法操作Tpl
[ 2012-10-15T10:17:21+08:00 ] /SHX/PinPHP/index/Tpl/default/public/images/connect/QQ_small.png | ERR: (ThinkException) 非法操作Tpl
[ 2012-10-15T10:24:26+08:00 ] /SHX/PinPHP/ | INFO: Tag[ app_begin ] --START--
[ 2012-10-15T10:24:26+08:00 ] /SHX/PinPHP/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001950s ]
[ 2012-10-15T10:24:26+08:00 ] /SHX/PinPHP/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002134s ]
[ 2012-10-15T10:24:26+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_setting` [ RunTime:0.001824s ]
[ 2012-10-15T10:24:26+08:00 ] /SHX/PinPHP/ | SQL: SELECT `data` FROM `pp_setting` WHERE ( `name` = 'site_status' ) LIMIT 1   [ RunTime:0.000653s ]
[ 2012-10-15T10:24:26+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_setting` [ RunTime:0.001713s ]
[ 2012-10-15T10:24:26+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_like_list` [ RunTime:0.001874s ]
[ 2012-10-15T10:24:26+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.001994s ]
[ 2012-10-15T10:24:26+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_items` [ RunTime:0.002082s ]
[ 2012-10-15T10:24:26+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001664s ]
[ 2012-10-15T10:24:26+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_items_comments` [ RunTime:0.001688s ]
[ 2012-10-15T10:24:26+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_user_openid` [ RunTime:0.001480s ]
[ 2012-10-15T10:24:26+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_user_follow` [ RunTime:0.001494s ]
[ 2012-10-15T10:24:26+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_user_comments` [ RunTime:0.001685s ]
[ 2012-10-15T10:24:26+08:00 ] /SHX/PinPHP/ | SQL: SELECT * FROM `pp_setting`  [ RunTime:0.000570s ]
[ 2012-10-15T10:24:26+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_nav` [ RunTime:0.001602s ]
