[ 2012-10-15T11:27:45+08:00 ] /SHX/PinPHP/index.php?m=uc&a=login_dialog | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007834s ]
[ 2012-10-15T11:27:45+08:00 ] /SHX/PinPHP/index.php?m=uc&a=login_dialog | INFO: Tag[ view_filter ] --START--
[ 2012-10-15T11:27:45+08:00 ] /SHX/PinPHP/index.php?m=uc&a=login_dialog | INFO: Run ContentReplace Behavior [ RunTime:0.000334s ]
[ 2012-10-15T11:27:45+08:00 ] /SHX/PinPHP/index.php?m=uc&a=login_dialog | INFO: Run TokenBuild Behavior [ RunTime:0.000381s ]
[ 2012-10-15T11:27:45+08:00 ] /SHX/PinPHP/index.php?m=uc&a=login_dialog | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000205s ]
[ 2012-10-15T11:27:45+08:00 ] /SHX/PinPHP/index.php?m=uc&a=login_dialog | INFO: Run ShowRuntime Behavior [ RunTime:0.000427s ]
[ 2012-10-15T11:27:45+08:00 ] /SHX/PinPHP/index.php?m=uc&a=login_dialog | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001506s ]
[ 2012-10-15T11:27:45+08:00 ] /SHX/PinPHP/index.php?m=uc&a=login_dialog | INFO: Tag[ view_end ] --START--
[ 2012-10-15T11:27:45+08:00 ] /SHX/PinPHP/index.php?m=uc&a=login_dialog | INFO: Run ShowPageTrace Behavior [ RunTime:0.000695s ]
[ 2012-10-15T11:27:45+08:00 ] /SHX/PinPHP/index.php?m=uc&a=login_dialog | INFO: Tag[ view_end ] --END-- [ RunTime:0.000753s ]
[ 2012-10-15T11:27:55+08:00 ] /SHX/PinPHP/ | INFO: Tag[ app_begin ] --START--
[ 2012-10-15T11:27:55+08:00 ] /SHX/PinPHP/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000429s ]
[ 2012-10-15T11:27:55+08:00 ] /SHX/PinPHP/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000506s ]
[ 2012-10-15T11:27:55+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_setting` [ RunTime:0.001692s ]
[ 2012-10-15T11:27:55+08:00 ] /SHX/PinPHP/ | SQL: SELECT `data` FROM `pp_setting` WHERE ( `name` = 'site_status' ) LIMIT 1   [ RunTime:0.000615s ]
[ 2012-10-15T11:27:55+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_setting` [ RunTime:0.001728s ]
[ 2012-10-15T11:27:55+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_like_list` [ RunTime:0.001999s ]
[ 2012-10-15T11:27:55+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.002084s ]
[ 2012-10-15T11:27:55+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_items` [ RunTime:0.002042s ]
[ 2012-10-15T11:27:55+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001794s ]
[ 2012-10-15T11:27:55+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_items_comments` [ RunTime:0.002138s ]
[ 2012-10-15T11:27:55+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_user_openid` [ RunTime:0.001693s ]
[ 2012-10-15T11:27:55+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_user_follow` [ RunTime:0.001628s ]
[ 2012-10-15T11:27:55+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_user_comments` [ RunTime:0.001848s ]
[ 2012-10-15T11:27:55+08:00 ] /SHX/PinPHP/ | SQL: SELECT * FROM `pp_setting`  [ RunTime:0.000665s ]
[ 2012-10-15T11:27:55+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_nav` [ RunTime:0.001723s ]
